conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
UNIT_OF_MEASUREMENT:1,tons,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:2,millimeters,millimetres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:3,centimeters,centimetres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:4,meters,metres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:5,kilometers,kilometres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:6,kilograms,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:7,nautical miles,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI

