conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONSTRUCTION_SKILL:1,Carved,,CONSTRUCTION_SKILL_AUTHORITY_DOCUMENT.csv,Index,CGI
CONSTRUCTION_SKILL:2,Burned,,CONSTRUCTION_SKILL_AUTHORITY_DOCUMENT.csv,Index,CGI
CONSTRUCTION_SKILL:3,Joinery,,CONSTRUCTION_SKILL_AUTHORITY_DOCUMENT.csv,Index,CGI

