conceptid,Value,ValueType,Provider
UNIT_OF_MEASUREMENT:1,1,sortorder,GCI
UNIT_OF_MEASUREMENT:2,2,sortorder,GCI
UNIT_OF_MEASUREMENT:3,3,sortorder,GCI
UNIT_OF_MEASUREMENT:4,4,sortorder,GCI
UNIT_OF_MEASUREMENT:5,5,sortorder,GCI
UNIT_OF_MEASUREMENT:6,6,sortorder,GCI
UNIT_OF_MEASUREMENT:7,7,sortorder,GCI

