conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RESOURCE_CLASSIFICATION:1,Boat,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
RESOURCE_CLASSIFICATION:2,Coracle,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
RESOURCE_CLASSIFICATION:3,Raft,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
RESOURCE_CLASSIFICATION:4,Canoe,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
RESOURCE_CLASSIFICATION:5,Kayak,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
RESOURCE_CLASSIFICATION:6,Board,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,GCI
