conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONTINENT:1,Africa,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:2,Europe,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:3,Asia,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:4,North America,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:5,South America,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:6,Antarctica,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
CONTINENT:7,Australia,,CONTINENT_AUTHORITY_DOCUMENT.csv,Index,EH
