conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONSTRUCTION_TECHNIQUE:1,Lashed,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:2,Stitched,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:3,Sewn,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:4,"Mortise & Tenon",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:5,Dowel,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:6,"T. nails",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:7,"M. nails",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:8,"Rivets",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI

